,epoch,x,y
716,3,116,61
717,3,117,65
718,3,118,71
719,3,119,77
720,3,120,74
721,3,121,71
722,3,122,81
723,3,123,88
724,3,124,77
725,3,125,75
726,3,126,88
727,3,127,77
728,3,128,69
729,3,129,87
730,3,130,83
731,3,131,74
732,3,132,76
733,3,133,83
734,3,134,78
735,3,135,71
736,3,136,72
737,3,137,79
738,3,138,86
739,3,139,94
740,3,140,69
741,3,141,73
742,3,142,94
743,3,143,94
744,3,144,96
745,3,145,90
746,3,146,75
747,3,147,83
748,3,148,94
749,3,149,76
750,3,150,89
751,3,151,107
752,3,152,102
753,3,153,93
754,3,154,97
755,3,155,92
756,3,156,90
757,3,157,82
758,3,158,88
759,3,159,97
760,3,160,94
761,3,161,104
762,3,162,95
763,3,163,90
764,3,164,94
765,3,165,99
766,3,166,120
767,3,167,95
768,3,168,87
769,3,169,99
770,3,170,98
771,3,171,102
772,3,172,83
773,3,173,102
774,3,174,91
775,3,175,108
776,3,176,98
777,3,177,103
778,3,178,106
779,3,179,98
780,3,180,112
781,3,181,90
782,3,182,100
783,3,183,102
784,3,184,99
785,3,185,105
786,3,186,104
787,3,187,95
788,3,188,98
789,3,189,118
790,3,190,116
791,3,191,110
792,3,192,99
793,3,193,119
794,3,194,73
795,3,195,109
796,3,196,120
797,3,197,106
798,3,198,115
799,3,199,120
800,4,0,6
801,4,1,7
802,4,2,9
803,4,3,5
804,4,4,0
805,4,5,5
806,4,6,10
807,4,7,12
808,4,8,12
809,4,9,10
810,4,10,15
811,4,11,11
812,4,12,10
813,4,13,11
814,4,14,17
815,4,15,23
816,4,16,16
817,4,17,19
818,4,18,23
819,4,19,13
820,4,20,23
821,4,21,19
822,4,22,15
823,4,23,20
824,4,24,22
825,4,25,27
826,4,26,16
827,4,27,21
828,4,28,20
829,4,29,26
830,4,30,20
831,4,31,20
832,4,32,23
833,4,33,24
834,4,34,29
835,4,35,26
836,4,36,27
837,4,37,23
838,4,38,28
839,4,39,34
840,4,40,26
841,4,41,24
842,4,42,29
843,4,43,30
844,4,44,35
845,4,45,28
846,4,46,36
847,4,47,39
848,4,48,39
849,4,49,28
850,4,50,34
851,4,51,48
852,4,52,35
853,4,53,41
854,4,54,36
855,4,55,36
856,4,56,38
857,4,57,50
858,4,58,39
859,4,59,32
860,4,60,43
861,4,61,43
862,4,62,37
863,4,63,46
864,4,64,43
865,4,65,51
866,4,66,45
867,4,67,53
868,4,68,51
869,4,69,39
870,4,70,47
871,4,71,53
872,4,72,47
873,4,73,46
874,4,74,56
875,4,75,41
876,4,76,49
877,4,77,56
878,4,78,52
879,4,79,48
880,4,80,52
881,4,81,61
882,4,82,55
883,4,83,51
884,4,84,59
885,4,85,47
886,4,86,49
887,4,87,65
888,4,88,51
889,4,89,55
890,4,90,62
891,4,91,63
892,4,92,48
893,4,93,60
894,4,94,50
895,4,95,65
896,4,96,55
897,4,97,54
898,4,98,57
899,4,99,55
900,4,100,58
901,4,101,69
902,4,102,71
903,4,103,57
904,4,104,64
905,4,105,72
906,4,106,48
907,4,107,68
908,4,108,81
909,4,109,62
910,4,110,71
911,4,111,69
912,4,112,72
913,4,113,68
914,4,114,60
915,4,115,85
916,4,116,56
917,4,117,85
918,4,118,71
919,4,119,68
920,4,120,69
921,4,121,77
922,4,122,84
923,4,123,75
924,4,124,83
925,4,125,75
926,4,126,72
927,4,127,76
928,4,128,87
